section,experiment,hardware,seeds,representative_jobids,args_template
"Sec 4.8 Table 1 (paper Table 1) equal-time reproduction (final caliber)","HJB-2, MartNet runs within the paper's printed DeepBSDE RT budget; I per cell = quota / measured cost (3200-4900, utilization 85-111%); uniform batch 128; paper networks h4/W/r600; lr_rho per-cell (flat 1e-2 low-dim, relative 10x lr_u or lr_u high-dim)","single GPU (>=24 GB)","0-4","driver experiments/table1_equaltime.sh; per-cell values in results/t1e_final_table.csv (rebuilt by plots/build_t1e_final_table.py --write from results/t1e*_raw_final.txt)","--example hjblq --dim {d} --preset sisc --dtype float32 --x0-mode point --num-hidden 4 --width {256|d+10} --r-dim 600 --batch-size 128 --max-iter {I per cell} --num-paths 10000 --renew-frac 0.2 --fd-residual --lam-bar 1000 --controlled-pool --lr-uv {3e-3*d^-0.5} --lr-rho {per cell: 1e-2 | 10x lr_u | lr_u} --seed {s}"
"Sec 4.1 paper Fig. 1","linear parabolic, d=100/1000 (I2000 M1e4), d=2000 (I4000 M6e3)","single GPU (>=24 GB)","0-4","5432739..5432931 (see results/s413_5seed_agg.csv)","--example linear --dim {d} --preset sisc --dtype float32 --max-iter {2000|4000} --num-dt 100 --num-paths {10000|6000} --renew-frac 0.2 --seed {s} --tag s41cb_d{d}_s{s}"
"Sec 4.2 semilinear fig","semilinear oscillatory d=100, T=1/0.1/0.05/0.01","single GPU (>=24 GB)","0-4","5432744..5432950 (see results/s413_5seed_agg.csv)","--example semilinear --dim 100 --te {T} --preset sisc --dtype float32 --max-iter 2000 --num-dt 100 --num-paths 10000 --renew-frac 0.2 --seed {s} --tag s42cb_t{T}_d100_s{s}"
"Sec 4.2 top row (exact refs)","d=10 exact t0 reference curves, T=1/0.1/0.05/0.01 (max-iter 1, curves only)","single GPU (>=24 GB)","0","496287-496290","--example semilinear --dim 10 --te {T} --preset sisc --dtype float32 --max-iter 1 --num-dt 100 --num-paths 10000 --renew-frac 0.2 --seed 0 --tag s42h_true_d10_t{T}"
"Sec 4.3 paper Fig. 3","LinearSinAC N in {3,4,5} I3000 / {6,8,12,18} I6000","single GPU (>=24 GB)","0-4","5432779..5432978 (see results/s413_5seed_agg.csv)","--example linsin --dim 100 --preset sisc --dtype float32 --max-iter {3000|6000} --num-dt {N} --num-paths 10000 --renew-frac 0.2 --seed {s} --tag s43fix_n{N}_d100_s{s}"
"Sec 4.4 paper Fig. 4 (HJB-1)","NonDegHJB oscillatory d=100/1000/2000 x T=1/0.5/0.1/0.01; lam-bar 100 for d>=1000 T=0.01","single GPU (>=24 GB)","0 (1-seed scan)","495819-495826, 495827, 496077-496079","--example hjb --dim {d} --te {T} --terminal oscillatory --delc 0.1 --preset sisc --dtype float32 --max-iter 1000 --num-paths 10000 --renew-frac 0.2 --fd-residual --lam-bar {1000|100} --controlled-pool --seed 0 --tag s42g_hjb1_d{d}_t{T}_s0"
"Sec 4.4 Fig5 d2000 (final configuration)","HJB-2 (delta0 0.2) / HJB-3 (delta0 0.1), I8000, lr x4","8 x GPU, DDP","0 (r0 curves per paper)","496285 (HJB-2), 496291 (HJB-3)","--example hjblq --dim 2000 --delta0 {0.2|0.1} --preset sisc --dtype float32 --max-iter 8000 --num-paths 10000 --renew-frac 0.2 --fd-residual --lam-bar 1000 --controlled-pool --lr-uv 2.7438303115639573e-05 --lr-rho 2.7438303115639574e-04 --seed 0 --tag s44g_hjb{2|3}_lr4"
"Sec 4.4 Fig5 d1e4 (final configuration)","HJB-2/-3 d=10000 w10010 batch64 lr x4 I6000","8 x GPU, DDP (80 GB each)","0-4","496434/496436 (s0, selected batch-64 scan arms) + 500699-500706 (s1-4)","--example hjblq --dim 10000 --delta0 {0.2|0.1} --preset sisc --dtype float32 --max-iter 6000 --num-paths 10000 --renew-frac 0.2 --fd-residual --lam-bar 1000 --controlled-pool --width 10010 --batch-size 64 --lr-uv 7.5714866e-06 --lr-rho 7.5714866e-05 --seed {s} --tag s44i_hjb{2|3}_d1e4b64lr4_s{s}"
"Sec 4.5 paper Fig. 6","HJB-2 d1000 region, I8000 lr x4 lam-bar 10, ptx+pathre evals","single GPU (>=24 GB)","0-4","5431552 (s0), 491371-491374","--example hjblq --dim 1000 --preset sisc --dtype float32 --max-iter 8000 --num-paths 10000 --renew-frac 0.2 --fd-residual --lam-bar 10 --controlled-pool --eval-ptx --eval-path-re --lr-uv 4.7772864e-5 --lr-rho 4.7772864e-4 --seed {s} --tag s45fcb_d1000_s{s}"
"Sec 4.6 paper Fig. 7 (paper-text configuration, reference)","ShiftTarget log-form d=100/500, I1000","single GPU (>=24 GB)","0-4","491380/491381 (s0), 495970-495978 (s1-4)","--example shifttarget --dim {100|500} --preset sisc --dtype float32 --max-iter 1000 --num-paths 10000 --renew-frac 0.2 --fd-residual --lam-bar 1000 --controlled-pool --seed {s} --tag s46f_st_d{d}_s{s}"
